酒釀衝雞蛋,酒釀，紅糖（或白糖），雞蛋
人参蒸乌鸡,净乌鸡1只，人参1棵，枸杞10克，姜丝少许，油莱1棵。调料蚝油1大匙，酱油1小匙，味精1／2小匙，绍酒少许，花生油2大匙。
魔芋结饭团,寿司饭、魔芋结(可在超市买到)、梅肉酱、紫苏叶、黑芝麻各适量。
腊味什锦玉米,腊肠2根，玉米粒200克，青豆100克，盐5克，白糖3克
乳酪烤红薯,原料：红薯1个（约500克左右）调料：鲜奶油30ml黄油20克蜂蜜1汤匙（15ml）生蛋黄1个，片状奶酪（或马苏里拉奶酪）30克
红薯布丁,红薯泥200g，鲜奶油150ml，细砂糖30g，牛奶150ml，鸡蛋1个
蒜香鸭块,鸭块，蒜，干辣椒，酱油、食醋、白糖，料酒，盐，味精，葱花
肉沫烤茄子,长茄子一根，肉馅60克，蒜5粒，剁椒一小勺，葱花适量
白菜鸡蛋浓汤,白菜叶3-4片，鸡蛋2个，鸡精，盐，香葱
奶油花菜火腿浓汤,金华火腿1小块，花菜，三花淡奶半灌，面粉适量，黄油1小块
土豆烧排骨,排骨300克，土豆200克，姜10克，拍破，郫县豆瓣20克，花椒0.5克，植物油20毫升，料酒5毫升，酱油5毫升，冰糖2克，八角1个，葱20克，挽结，鲜汤或水350毫升
冬南瓜干酪蝴蝶面,葡萄干55克，沸水240毫升，蝴蝶面225克，橄榄油1汤匙，大红甜椒1个，切丁，大蒜4瓣，切碎，冬南瓜糊500克，鼠尾草1茶匙，搓碎，盐1茶匙，黑胡椒粉1/2茶匙，减脂奶油干酪，如法国新堡干酪3汤匙，帕尔马（parmesan）干酪粉38克
抹茶提拉米苏,细砂糖117公克，水30公克，蛋黄60公克，奶油起司333公克，吉利丁片15公克，柠檬汁25公克，动物性鲜奶油400公克，抹茶粉适量，彼士裘依蛋糕1片，酒糖液适量
翡翠鱼面筋,净青鱼肉100克，菜芯150克，咸肉30克，水发木耳2克。调料盐10克，鸡粉10克，鸡蛋清500克，生粉150克，葱姜汁30克，胡椒粉5克，清鸡汤500克，色拉油1000克。
椒鹽烤三文魚骨,三文魚骨2塊，料酒2匙，鹽適量，黑胡椒粉適量，黑胡椒碎一點點
培根鱼卷,主料：培根6片，草鱼片100g辅料：胡萝卜，干香菇，芦笋，盐，水淀粉
油爆石斑片,1.石斑鱼片6片，太白粉50公克，蛋白1个，2.青江菜50公克，冬菇50公克，红萝卜片50公克，砂糖1/2小匙，盐1/2小匙
沙嗲咖哩鱼,鲷鱼片150公克，洋葱10公克，青椒10公克，红甜椒10公克，面煳：7大匙，太白粉1大匙，沙拉油1大匙，吉士粉1小匙，水50㏄，盐1/2小匙，糖1/2小匙，米酒1大匙，沙茶酱1小匙，咖哩粉1小匙，盐少许，白胡椒粉少许，米酒1小匙，太白粉10公克
红糖燕麦酥,低筋面粉100g，即食燕麦片35g，全蛋30g，色拉油65g，细砂糖30g，红糖30g，泡打粉1/4小勺，小苏打1/4小勺
四川家常回锅肉(改良版),五花肉，豆瓣酱1勺，豆豉少量，老抽少量，青辣椒6个，红椒1个，白糖少许
三鲜豆腐火锅,主料：嫩豆腐1250克，黑鱼500克，海米25克，夹心猪头250克，水发香菇50克，冬笋，150克，塔菜心250克。调料选用：黄酒25克，精盐10克，味精5克，葱姜末30克，猪油50克，肉汤1250克。
糯米酿鸡翼,腊肠50克，虾米、腊肉、润肠(即黑色腊肠)、水发瑶柱各25克，水发冬菇15克，火腿粒10克，蒸好的糯米饭100克，鸡翼2个(重约150克）。调料干葱蓉8克，葱花12克，香菜12克，色拉油800克，姜汁酒20克，玫瑰露酒15克，盐8克，鸡精10克，上皮水80克。
芦笋肉末,主料：芦笋400克，肉末100克调料：食用油适量，老抽、盐少许，水淀粉适量
烟薰黄鱼,主料：舟山黄鱼1条（约800克）。调料：片糖100克，龙井茶15克，盐10克，葱、姜各15克，花椒8克，绍酒15克，生抽2克，美极鲜3克，鸡粉5克，味精5克，明油3克。
冬菇鸡粥,食用油5克　　胡椒粉少许　　精盐0.25小匙　　大米150克　　冬菇20克　　鸡腿100克　　香葱1棵　　生姜少许
川爆鸡杂,A：鸡杂1副，香芹1把，红，绿辣椒各4根，泡椒6根，大蒜2瓣，姜1小块，豆瓣1汤匙，B：老抽少许，淀粉1汤匙，花椒1小把，料酒1汤匙，白胡椒粉少许，白糖1/3勺
简易中式披萨,面粉+酵母（加水搅匀，稍稀）盐，五香粉圆葱（切碎），培根（切条），香菜（切段），按个人口味可加香菇，木耳，胡萝卜等
甘露酥,A.细砂糖150公克，猪油75公克，玛琪琳55公克，泡打粉5公克，B.低筋面粉300公克，小苏打1公克，C.咸蛋黄12颗，莲蓉360公克，蛋黄液适量
白菜肉丸盖饭,白菜5-6片叶猪肉薄片200g胡萝卜半根黑木耳适量大葱1根
鹅肝温沙拉,主料：鹅肝，鲜，片状100克；辅料：洋葱，细碎30克；混合鲜香草3克；苹果，去皮，核，切成丁30克；黄油20克；苹果白兰地25毫升，调料：黑香草醋汁20毫升；酸，酱3克；核桃，烤，碎5克；黑香草醋10毫升；黑胡椒1克；盐1克；混合生菜60克；混合香草10克；红黄椒丝4克。
很充实也很鲜美的猪肝粉丝烫,猪肝3两，青菜适量，粉丝一捆，香葱末，姜末，盐，鸡精，花椒粉，豆油
烧汁大排,大排，老抽，生抽，生粉，水淀粉，盐，鸡精，糖，料酒，葱姜，蛋清
果仁小酥饼,雪花粉250克（即精粉、面粉），干酵母2.5克，葡萄干125克，色拉油25克，白糖25克，奶粉15克，牛奶125克
明太鱼炖豆腐,明太鱼250克，豆腐半块，姜片，红辣椒，料酒，酱油，耗油，盐
炸藕盒,藕1节，瘦肉馅2两，鸡蛋1个，面粉1茶勺，酱油1茶勺，盐1茶勺，料酒1/2汤勺，食用油适量
圣诞的温暖问候—牛奶红豆沙,红豆150克，牛奶半小杯，冰糖少许
满堂红,食材：蚝豉50g，干花菇6个，水云（也称龙须菜，海发菜）50g，叉烧肉100g，烧鹅腿300g，基围虾200g，浮皮20g，鱼丸100g，白萝卜150g，大白菜叶150g，香葱3棵，老姜7片，调料：料酒2汤匙（30ml），白胡椒粉1茶匙（5g），盐1茶匙（5g），蚝油2茶匙（10ml），油1汤匙（30ml），高汤适量
可爱的早餐“土豆聚宝盆”,2个土豆，培根，火腿，生菜（或别的蔬菜），鸡蛋1枚
泰式鸡翅,鸡翅1360克，鸡汤235毫升，白糖200克，鱼露60毫升，苹果醋30毫升，生粉8克，红椒粉5克，植物油15毫升，蒜末45克，墨西哥辣椒15克，捣碎，红椒25克
香辣鸡丝,鸡腿两只，辅料：葱，姜，八角，花椒，料酒，花生约20个，调味汁：葱姜末各一大勺，味极鲜酱油2大勺，米醋1大勺，盐适量，糖1小勺，味精1/2勺，胡椒粉少许，香油1小勺，辣椒油3大勺．
南方芝麻酱面包,高筋粉250克，奶粉15克，细砂糖25克，盐2克，干酵母5克，全蛋25克，水75克，汤种84克，黄油22克，颗粒型花生酱适量
香菇培根卷,新鲜香菇4片，黑胡椒碎3朵
海底椰瑶柱乌鸡汤,冰冻海底椰3块，乌鸡半只，生姜片
豌豆皮蛋,皮蛋1个，豌豆小半碗，胡蘿卜絲，青瓜絲，甜椒絲适量，牛楠
麻辣牛腩面,牛腩1000公克，毛肚300公克，牛筋300公克，鸿喜菇60公克，冻豆腐1块，青江菜适量，拉面适量，中式牛骨高汤5000cc，A.碗底油45cc，青葱90公克，蒜仁90公克，B.花椒粒30公克，姜30公克，八角3粒，白胡椒20公克，大蒜粒20公克，辣椒粉15公克，辣椒干5公克，C.辣豆办油60cc，冰糖45公克，D.盐18公克
山楂鸭,鸭子配料：干山楂、陈皮、草果、桂皮、小茴香、葱、姜、料酒、冰糖、盐、酱油
五味干丝,白豆腐干125g，熟笋丝15g，榨菜丝15g，熟肉丝15g，熟鸡肉丝15g，嫩姜丝20g，香菜1根，芝麻油1大勺，生抽1茶匙，盐少许，白糖少许
葡式蛋塔,高筋面粉20克，低筋面粉180克，黄油30克，细砂糖20克，麦其林160克，牛奶70毫升，全蛋1个，包入用油（麦其林或黄油）125克，塔水：，动物性鲜奶油200克，牛奶2160毫升，糖80-100克，炼乳4大匙，蛋黄4个
黄金起司甜甜圈,A.水194公克，奶油65公克，盐3公克，B.高筋面粉129公克，C.全蛋液180公克，D.泡打粉3公克，奶水26公克，装饰：适量
洋葱焖猪排,洋葱2-3个，猪里脊4块，油，生抽，麻油，料酒，砂糖，葱，胡椒粉
鸡蛋炒西葫芦,鸡蛋，西葫芦，色拉油，盐，胡椒粉，味精
慈菇炸鸡片,材料：慈菇半斤，鸡腿1支，九层塔1把，蒜末1大匙，辣椒1根，蛋白适量，太白粉适量调味料：七味粉2小匙，盐少许，酒1大匙，酱油1大匙，味霖适量
清蒸鳜鱼,鳜鱼，蒸鱼豉油，姜，葱白一段，盐，猪油
莲子雪耳百合红枣奶露,雪耳两大朵，莲子适量，干百合适量，红枣5粒，牛奶大半碗，水4碗
酱肘子卷春饼,去骨猪前肘一只，冰糖半小碗，老抽半小碗，黄酒半小碗，葱1根，姜1块，盐适量，花椒1小撮，八角4粒，香叶2片，丁香4粒，草果2粒，豆蔻1粒，干辣椒2粒
红烧茄子,茄子，湿淀粉，清汤，肉末，葱末，大蒜片，大料，酱油，料酒，盐，白砂糖，香菜，油
姜母麻油鸡,土鸡肉块900公克，老姜片100公克，麻油50公克，米酒1瓶，热水800㏄，盐1/4小匙，鲜鸡粉1/2小匙
茄子干腊肉,腊肉，茄子干，干辣椒，蒜苗，葱，姜，蒜，鸡精，酱油，花生油
黄姜饭,材料A)：150克白米，100毫升清水，100毫升浓椰浆，1／2小匙盐，1／2小匙黄姜粉，2粒八角，3粒小豆蔻，5粒丁香材料B)：1只全鸡腿，1大匙姜汁，1／2小匙黄姜粉，1／2小匙盐，1／2小匙糖，1大匙绍兴酒
上汤菠菜,菠菜1把，皮蛋1粒，咸蛋1粒，生姜3片，鸡汤100毫升，白胡椒粉少许，盐少许
红红家的莴苣大汤黄鱼,黄鱼1条，莴苣1根，生姜1块，食盐少许，鸡精少许
蜂蜜豆沙餐包,高粉200克鸡蛋20克（我用一只，打散后留少许备用）蜂蜜30克盐2克酵母2克牛奶100克黄油20克
洋芋咖哩酱,A.培根1片，马铃薯180g，B.奶油40g，洋葱小丁100g，蒜头碎10g，西芹碎50g，红萝卜碎60g，月桂叶1片，小茴香1/8茶匙，俄立岗1/4茶匙，百里香1/8茶匙，低筋面粉1大匙，C.大骨高汤600c.c，郁金香粉1/2茶匙，印度咖哩粉2大匙，黑胡椒粗粉适量，糖适量，盐适量
蚝油啤酒鸡翅根,鸡翅根10个，蚝油，啤酒一罐，酱油，盐，植物油，料酒，大料一个，葱，姜
沙茶香烤带鱼,带鱼香菜姜末沙茶酱
兔肥肠,兔肉半只、肥肠500克、八角、丁香、陈皮、花椒、葱花、姜蒜、泡椒1根、老抽、郫县豆瓣、料酒、豆粉、豆芽及黄瓜。
沙茶鱼头锅,主料：鲢鱼头半个，金针菇75克，鲍鱼菇3朵，生香菇6朵，大白菜1棵，海带结3片，豆腐1块，粉丝1把，鱼板6片，葱1根，姜5片，红辣椒2个。沙茶酱1大匙，酒1大匙，盐2茶匙。
雪菜烧红鱼,主料红鱼配料雪菜、干辣椒调料盐、味精、糖、醋、料酒、花生油、葱、姜、蒜、酱油、上汤
豆豉牛肉酱拌面,麻辣牛肉150g，辣豆瓣酱150g，米酒2汤匙（30ml），蚝油30ml，干豆豉1茶匙（5g），蒜蓉30g，细砂糖1汤匙（15g），高汤少许，黄豆芽50g，油菜心3只，乌冬面200g
酒酿煮鹌鹑蛋,枸杞子，酒酿，鹌鹑蛋，冰糖适量，水
杏桃塔,原味塔皮8吋1个，内馅：1罐，蛋黄40公克，细砂糖40公克，无盐奶油30公克，鲜奶油70公克，柠檬汁10公克，低筋面粉50公克，蛋白60公克，细砂糖20公克，装饰：适量
牛肉拉面,主料：面粉30斤、牛肉10公斤配料：牛肝3斤、白萝卜10斤调料：花椒7两、草果1两、桂子5钱、姜皮1两、清油0.5斤、味精3分、食盐1斤、酱油4斤、胡椒粉3钱、香莱、蒜苗、葱花、各半斤，灰水7两、辣子油酌量。
狮子头,猪肉1斤，淀粉15克，盐，葱姜，胡椒粉，料酒，鸡蛋一个
雪莲果汤,雪莲果1个，红萝卜1根，牛腱半斤，鸡爪2对，水一升半
酒风猪肝,主料：黄色猪肝（１４００克），高梁酒（５００克），板油（或肥膘）（５００克），精盐（少许），白糖（７５克），麻油（少许）。
鸡丝蘑芋豆腐,主料：魔芋1000克，鸡胸脯肉150克，辅料：火腿50克，鲜香菇50克，鸡蛋清25克，调料：猪油80克，料酒15克，盐6克，味精1克，胡椒粉1克，大葱15克，豌豆淀粉23克，鸡油15克
玉米鲜奶吐司,总重900g，每个450g，可做2个。【材料配方】高筋面粉：…………500g(100%)砂糖：…………60g(12%)盐：…………7g(1.4%)干酵母：…………5g(1%)鸡蛋：…………100g(20%)牛奶：…………240g(48%)黄油：…………80g(16%)【表面装饰】玉米碎：…………适量
超级简单寿司做法,按自己的喜好准备不同的量：主料：紫菜片（一般超市有卖，方方正正的，还会送裹寿司的竹卷哦~~）胡萝卜，黄瓜，火腿肠（还可以放天妇罗），鸡蛋，米饭（糯米和粳米混合）调料：盐，味精，香油，花椒油（个人喜好添加），甜面酱，辣椒油（不喜欢辣的朋友可以准备沙拉酱还有白醋）
花样寿司,油，熟米饭，火腿，胡萝卜，芹菜叶，果醋，精盐，黑芝麻，沙拉酱，紫菜
红烧鲨鱼,鲨鱼，姜丝，酱油，葱，红辣椒
香苹咖哩猪排,材料：，猪排2片(约300克)，苹果1粒，面包粉5大匙，起司1片，红葱1颗，面粉2大匙，洋葱半颗，鸡蛋1颗调味料：盐少许，酒1大匙，糖少许，肉桂粉适量
美味甜品——芒果班戟,牛奶250克，白砂糖30克，低粉75克，鸡蛋黄四个（因家里买的鸡蛋个头太小，就用了五个蛋黄），黄油15克，金钻植脂奶油适量，大台农芒3个。
指天椒油蒸排骨,排骨500克，指天椒20克，蒜头15克，葱花10克，盐，糖，米酒，姜汁，生抽，花生油
月见鳗鱼军舰寿司,山药50公克，市售蒲烧鳗1/4条，鹌鹑蛋黄2个，寿司饭适量，海苔2条，青海苔粉少许
肉末干丁,绞肉100公克，豆干丁200公克，蒜末5公克，洋葱末10公克，咖哩粉5公克，肉臊卤汁60㏄，盐少许，鸡粉少许，米酒1/2小匙，胡椒粉1/4小匙
萝卜煲羊肉,羊肉最好是带骨头的，白萝卜，魔芋（我选择魔芋代替豆腐，因为炖制时间比较长，魔芋可以保证汤，大葱，姜，枸杞少许，盐，鸡精，料酒，醋，鱼露（上图的香辣酱不是这个菜用的）
自制奶茶,茶包/茶叶，水，牛奶
羊肉杂煮,羊肉，大料，葱白，姜片，羊油，青红小椒，香菜，葱花，腐乳酱，芝麻酱
鲈鱼片芦荟,主料：鲈鱼或草鱼1000克。辅料：芦荟叶肉片，橙色胡萝卜片，芜荽，蛋清，淀粉。调料：油，盐，味精。
三鲜黄金包,主料面粉200g；小麦淀粉150g；南瓜200g；猪肉150g；虾仁200g；木耳50g辅料：香油10ml；盐5g；葱适量；姜适量；胡椒粉1g；调味酱油10ml；味精1g
红豆圆子汤,主材：红豆3两，糯米粉2两，冰糖10来颗，炼乳5ml
黑胡椒洋葱牛排,洋葱2个，猪排6片，大蒜末2粒，A.酱油1大匙，酒1大匙，太白粉1大匙，B.黑胡椒2大匙，酱油2大匙，糖2小匙，水2杯，C.盐1小匙
奶油玉米美乃滋,美乃滋200公克，甜玉米粒120公克，水煮鲔鱼2大匙，山椒粉1小匙，胡椒粉1小匙
宫保皮蛋,干辣椒1/2碗，皮蛋2个，葱2支，酒1大匙，酱油1大匙，糖1小匙
圣诞咖啡酒,全脂牛奶400ml，淡奶油50ml，速溶咖啡1小袋，白朗姆酒20ml，浓奶油100ml，小红梅2颗
咸鱼鸡粒饭糰,花飞咸鱼200公克，鸡腿肉100公克，盐少许，胡椒粉少许，葱花2根，白饭适量，海苔适量
可乐蹄膀,蹄膀1只（约700g），话梅6枚，可乐300ml料酒、酱油各2汤匙（30ml），八角3个，小洋葱6枚，老姜1块（约10g），冰糖50g，盐1茶匙（5g），蒜3瓣，油菜心100g，油4茶匙（20ml），水淀粉1汤匙（15ml）
咸蛋冬瓜汤,主料：冬瓜，咸鸭蛋，火腿，粉丝配料：葱花，花椒粉，香油，盐，鸡精，大料
红烧鲐鱼,主料鲐鱼配料香菇、竹笋调料花椒、葱、姜、花生油、盐、味精、糖、酱油、料酒、醋、胡椒面、淀粉、香油
西西里金枪鱼烩面,（3人份），小胖子白肉金枪鱼（特级初榨橄榄油浸）1/2罐，安贝拉直条形意大利面150g，品利特级初榨橄榄油3汤匙（45ml），品利西西里口味意粉酱50ml，阿维欧大蒜粒1茶匙（5g），黑胡椒1茶匙（5g），面粉50g，奶油25ml，奶酪丝50g，鲜牛奶1汤匙（15ml），洋葱丁50g，红椒丁30g，黄椒丁30g，盐适量
鱼尾枸杞叶汤,鳙鱼尾1条，猪瘦肉100克，枸杞叶1斤，姜适量，盐适量
私家飘香麻辣豆豉烤鱼,草鱼1条（约2斤），豆豉，菜花，莴笋，红椒，大饼，葱姜蒜，蚝油，蒜蓉辣椒酱，玉米油，蒸鱼豉油
香草梅子猪扒,猪大排2片，盐，豆蔻粉，百里香末，胡椒粉，酒，低粉，梅子，蕃茄酱，鸡蛋，糖
美味日式炸牛肉薯饼,中等大的褐色皮土豆3个，去皮，切碎，黄油1汤匙，植物油1汤匙，洋葱3个，切碎，绞牛肉340克，生抽4茶匙，面粉适量，用作涂粉，鸡蛋2个，搅打匀，日式干面包屑适量，植物油120毫升，用作油炸
蜜汁鲣鱼饭糰,A.细柴鱼片20公克，熟白芝麻适量，B.白饭适量，海苔适量，水60㏄，米酒30㏄，味醂18㏄，酱油30㏄，糖24公克，麦芽糖10公克
日式牛肉卷,材料牛里脊肉250克，金针菇150克，大葱丝少许调味料盐1茶匙，酱油1大匙，黄油适量
印度式番茄烧鸡,洋葱1大个，切4块，蒜头4瓣，新鲜生姜1片，橄榄油15毫升，孜然粉10克，姜黄粉5克，盐5克，新鲜黑胡椒粉5克，豆蔻粉2.5克，肉桂皮1条，打碎，丁香粉1克，月桂叶2片，肉豆蔻粉1克，鸡大腿肉6块，番茄罐筒400克，已切碎的
电饭锅版烧鸡,三黄鸡1只，生抽，老抽1杯，油半杯，酒1杯，糖，姜，葱
圣诞火腿配鲜橙蜂蜜汁,材料圣诞火腿、各式蔬菜丝、橙肉、雪梨酒、盐、胡椒、黄油、鲜橙汁、蜂蜜
香菇蚝油鸡块,香菇，鸡全翅，洋葱，盐，生抽，蚝油，料酒，芝麻油，生粉，姜片，鸡精
叉油饼,普通面粉，黄油，香豆子粉，油，酵母(喜欢甜口的放糖，喜欢咸口的就放盐)
香菇鱼片粥,大米100g，新鲜草鱼100g，干香菇3朵，芹菜50g，姜丝3g，盐1茶匙（5g），香油2茶匙（10ml），干淀粉少许
爽脆鱼皮,鲜鲤鱼皮400克，胡萝卜、芹菜各20克，葱白5克。调料白芝麻10克，白醋15克，盐5克，味精5克，花椒油20克，香油5克，姜汁10克。
荷叶蒸鳗鱼,鳗鱼，荷叶，枸杞，色拉油，盐，糖，胡椒粉，鸡精，料酒，生抽
黄瓜炒肉丝,主料：黄瓜250克，猪瘦肉200克；绍酒1汤匙，鸡蛋清1只，盐，鸡粉，淀粉，葱姜未各适量。
牛肉芹菜馅包子,面粉，牛肉，芹菜，白菜，料酒，酱油，胡椒粉，鸡精，盐，葱末，姜末，蚝油，玉米油，香油
冬菇烩鹅掌,生鹅掌10只，鲜冬菇8朵，蚝油1汤匙，葱2颗，切段，姜6片，植物油2汤匙，鲜汤或水200毫升，料酒、盐各适量
私人厨房——草莓雪球,草莓，鸡蛋1个，牛奶1盒，淡奶油，薯片1袋
燕麦杯,燕麦片，酸奶，瓜子仁，蜂蜜，草莓酱，葡萄干，黑巧克力，胡萝卜，星星饼干
外婆神仙鸡,富阳放养笨鸡1只（毛重约1500克），新鲜干净猪前蹄1只约400克。调料酱油5克，盐5克，白糖5克，鸡精10克，香粉5克，加饭酒30克，鸡油20克，粗盐5包共2500克，红樱桃1颗，香芹2克。
胡萝卜玉米猪骨汤,猪筒骨800g，玉米1根，胡萝卜1根，莲子15g，姜3片，清水4小碗（两个人的量），盐1茶匙，油5ml
节瓜鲮鱼滑煲,节瓜，鲮鱼，瑶柱，酒，盐，生粉，葱花
咸香蛋黄肉粽,米2斤，咸草绳1把，酱油3匙，花生1斤，五香粉半包，粽叶半斤，绿豆仁4两，瘦肉1斤，腊肠5根，蒜1个，咸蛋黄1包，盐，香菇20-30朵
盐焗多宝鱼,多宝鱼1条、咸猪腩片50克、蒜头（去衣拍碎）15克、姜片20克、葱段20克，盐、花椒粉、胡椒粉、花生油各适量。
海参羹,水发海参150克，猪瘦肉50克，冬笋、水发香菇各30克、葱、姜各10克、鸡蛋2个、料酒15克、酱油10克，沙茶酱5克，精盐2克、味精1克、胡椒粉0．5克，湿淀粉20克，鸡汤700克，油25克，白糖5克。
黑椒肥牛卷,主料：金针菇200克，肥牛150克，芦笋尖75克。调料：鸡精10克，味精2克，黑胡椒15克，白糖4克，盐3克，生粉50克，清汤50克，色拉油500克，蚝油5克，生抽5克。
泰式风味鸡肉米粉,黑芝麻油15毫升，蔬菜油15毫升，小个的洋葱1个（165克），切碎，鲜姜末2克，新鲜红辣椒1个，去籽切碎，半块装无皮无骨鸡胸肉4块，切成条，新鲜青柠汁20毫升，老抽5毫升，新鲜九层塔3克，切碎，新鲜香菜3克，切碎，椰奶1罐（280克），生粉8克，水30毫升，干米粉336克，浓奶油15毫升，青柠1个，切块
蘑菇咖哩酱,A.奶油40g，洋葱丝60g，姜碎5g，蒜头碎15g，西芹碎30g，月桂叶1片，蘑菇片5个，小茴香1/8茶匙，百里香1/8茶匙，低筋面粉1大匙，B.罐装整颗蕃茄1个，蕃茄酱1茶匙，红酒50c.c，鸡高汤500c.c，郁金香粉1/4茶匙，匈牙利红椒粉1/2茶匙，印度咖哩粉1大匙，黑胡椒粗粉适量，糖适量，盐适量
麻辣火锅,汤底材料A：2大匙，姜片3片，干辣椒3支，蒜末1大匙，汤底材料B：1小匙，辣豆瓣酱3大匙，酒2大匙，辣椒粉1小匙，汤底材料C：1小匙，鸡骨高汤2000cc，盐1小匙，火锅料：120公克，豆腐80公克，鸭血1大块，大肠头300公克，大白菜500公克，金针菇120公克，火锅肉片300公克
什锦煎饼淋酱,猪排沾酱3大匙，美奶滋1大匙，黄芥末酱1又1/2小匙
肉沫雪里蕻,雪里蕻300克，水发黄豆150克，猪肉馅100克，干辣椒5根，葱少许，白糖少许，生抽少许
簡單易做火腿三明治（我帶去學校的便當><）,麵包雞蛋火腿美乃滋番茄黃瓜辣椒醬
咸香土豆芝士曲奇,土豆200克，奶油芝士150克，低筋面粉100克，盐适量，葱15克
红豆乳酪蛋糕,奶油奶酪250克，鸡蛋2只，黄油20克，酸奶75克，糖60克，低粉60克，蜜红豆120克
花生红枣煲凤爪,主料：凤瓜11只辅料：花生米1小把，红枣10个，瘦肉2两调料：葱，姜，加饭酒，盐
奶香咖喱鱼,带鱼600克。调料姜、葱、蒜各3克，洋葱段5克，泡椒3克，鲜乳精2克，海天海鲜酱油5克、老抽2克，醋15克，料酒10克，香油2克，盐3克，白糖3克，咖喱酱10克（可用咖喱粉代替），味精2克，高汤200克水淀粉5克。
一人晚餐之芹菜木耳培根炒面,伊面，西芹，木耳，培根，生抽，蚝油，黑胡椒粉，辣椒粉，糖，盐
日式麻糬,面团料：糯米粉200克，粘米粉100克，白糖6大勺，猪油或素油30克配料：豆沙，黑/白芝麻
豆豉虱目鱼,虱目鱼肚1片，姜丝10公克，蒜末10公克，辣椒1根，葱花10公克，豆豉25公克，蚝油2茶匙，酱油1大匙，米酒1茶匙，细糖1茶匙，水2大匙
抹茶舒芙蕾芝士蛋糕,低粉14克，抹茶粉1.5克，鸡蛋1个（连壳重63克），糖20克，淡奶油8克
沙嗲汤头,油40㏄，牛肉500公克，大地鱼50公克，洋葱1个，虾米50公克，水3000㏄，咖哩粉1茶匙，牛尾汤1罐，花生酱1茶匙，椰子粉100公克，南姜100公克，香茅2根
奶汤大鱼头,太平湖大鲢鱼，鱼头硕大饱满，经小火慢炖，汤呈奶汤色。吃时汤白鲜香，鱼酥诱人，胶质丰富，滋补强身。 主料太平湖鲢鱼头调料精盐 味精 葱 姜 料酒 白醋 胡椒粉 色拉油
石锅鱼杂,鱼籽，鱼肠，鱼鳔，青菜，盐，料酒，酱油，味精，鸡精，胡椒粉，白糖，淀粉，葱，姜，蒜，干红辣椒，色拉油
家里的三汁焖锅（源自黄记煌三汁焖锅）,菜品：红薯3-4个（根据个人喜好，大家反映红薯比较好吃），洋葱1-2个，胡萝卜1-2根，大蒜3-4头，草鱼，鲶鱼（比较好），虾，鸡翅（不太入味）调味品：番茄酱，甜面酱，海鲜酱，盐，辣椒粉（喜欢吃辣的朋友可以选用）配菜：青菜类，磨菇类，粉条类，主食：活好的面片，普通的烙饼（切小块）
扒羊蹄,熟羊蹄600克。调料油2大匙，绍酒、酱油、花椒油、甜面酱、白糖各1大匙，醋1／2大匙，精盐、味精各1／4小勺，葱姜末、蒜片各少许，淀粉适量。
香烤鲔鱼饺,鲔鱼罐头1罐，洋葱丁3大匙，蛋白1个，胡萝卜饺子皮15张，菠菜饺子皮2张，白色饺子皮1张，盐2小匙，白胡椒粉3小匙，糖2/3大匙
极品美味DIT石锅拌饭的做法,米饭，香油，肉末，鸡蛋，凉拌的嫩豆芽和青菜、炒好的蕨菜、红萝卜丝、炒好的肉末
酥皮炸鲜奶,牛奶250ml，玉米淀粉110g，绵白糖2茶匙（10g），自发粉2汤匙（30g），面包糠80g，油100ml(实耗20ml)
葱烤河鲫鱼,鲫鱼、料酒、生抽、葱段、糖、生姜
青蒜炒猪肝,主料：猪肝200克，青蒜100克，调料：香油10克，醋10克，酱油5克，豌豆淀粉15克，盐2克，白砂糖10克，料酒10克，味精2克，花生油75克
茭白炒腊肠,茭白，广式腊肠，大葱，盐，味精
鱼露肉糜烩豆腐,肉糜，豆腐，鱼露，淀粉，盐，料酒，白胡椒粉，欧芹
腊味焖饭,香菇、腊肉、腊肠、红葱头、大米、生抽、盐
鲔鱼肉圆,材料：粗绞肉10两，鲔鱼罐头1罐，蒜泥适量，在来米粉半杯，太白粉2又1/3大匙地瓜粉1杯半调味料：山葵酱适量，酱油5大匙，糖2又1/3大匙，香油1小匙，白胡椒粉1/4小匙
海鮮豆腐,材料(A)木著粉100g玉米粉100g水200ml材料(B)日本豆腐2條(弄碎)魚肉100g(弄碎)虾肉100g(弄碎)芹菜1小(切細)咸蛋1粒(弄碎)鹽巴1匙
腐竹玉米马蹄汤,玉米，马蹄6个，猪骨500克，腐竹3条，鸡1只，胡萝卜半个
黑芝麻汤圆,水磨汤圆粉（糯米粉）200克，汤圆馅100克，温水170克，馅料：黑芝麻200克，猪油（如果没有猪油用黄油也可以）30克，细砂糖150克
花胶汤,猪蹄膀1块，约200克，花胶50克，干玉竹25可，干淮山10克，干枸杞10克，干桂圆肉10克，净化水2000毫升，盐适量，鸡精适量
天下第一粥,食用油20克　　酱油1小匙　　料酒1小匙　　胡椒粉适量　　精盐0.25小匙　　味精0.25小匙　　大米150克　　牡蛎50克　　猪瘦肉25克　　鲜虾皮适量　　橄榄菜适量　　香葱1棵
翡翠米汤鱼片,鳜鱼700克，泰国香米500克，糯米100克，菠菜汁、盐、加饭酒、鸡粉、胡椒粉、葱丝、姜丝各适量
